37
32	0.00	-1.22
37	2.78	-2.48
42	5.56	-6.93
47	8.33	6.61
52	11.11	-2.51
57	13.89	6.82
62	16.67	-2.33
67	19.44	2.54
72	22.22	-5.29
77	25.00	-0.40
82	27.78	1.55
87	30.56	2.69
92	33.33	-6.08
97	36.11	3.37
102	38.89	5.18
107	41.67	-4.17
112	44.44	2.68
117	47.22	4.68
122	50.00	3.05
127	52.78	2.06
132	55.56	5.98
137	58.33	6.67
142	61.11	0.95
147	63.89	0.26
152	66.67	4.34
157	69.44	4.20
162	72.22	-0.39
167	75.00	-7.44
172	77.78	2.74
177	80.56	4.02
182	83.33	-3.92
187	86.11	-1.97
192	88.89	3.32
197	91.67	2.42
202	94.44	-4.59
207	97.22	3.22
212	100.00	0.96

